date	Palestinian	Security	Minister	Netanyahu	Jerusalem	Year	State	Prime	Military	People	President	Gaza	West	Benjamin	Violence	Attack	Bank	Peace	Jewish	Day	Deal	Statement	Group	Wednesday	News	Time	Home	Fire	City	Foreign	Government	Aviv	Tel	East	Thursday	Police	War	Media	Dead	Afp
20160525	33	23	36	42	22	17	19	29	25	3	8	24	31	29	3	1	30	34	12	17	30	4	10	32	8	12	15	5	3	23	36	2	2	9	1	3	11	2	5	10	
20160526	2	3	3	3	1	1	3	3	2	1	1	2	2	2	0	0	2	3	1	2	2	1	1	2	0	0	2	0	0	2	3	0	0	1	0	0	1	0	0	0	
20160527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160528	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160531	1	1	1	1	1	2	1	0	1	1	0	1	0	0	0	1	0	2	2	0	1	0	1	0	2	0	2	0	1	0	1	1	1	0	0	1	1	2	1	2	
20160601	6	9	1	3	8	6	1	0	0	6	0	0	6	0	0	4	6	2	11	0	2	1	4	8	4	5	9	2	2	0	1	1	1	0	2	3	1	0	4	4	
20160602	7	5	5	7	4	2	3	5	1	2	4	2	1	3	2	2	1	4	5	3	2	0	4	0	4	3	4	1	0	4	4	1	1	4	4	2	3	1	0	3	
20160603	28	17	23	21	12	23	28	22	2	8	21	13	18	19	20	3	17	28	11	10	12	15	6	2	5	13	2	1	4	23	8	0	0	21	10	3	6	5	9	15	
20160604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160605	4	6	0	0	1	8	3	0	3	2	2	6	0	0	2	3	0	0	2	2	0	2	4	2	4	1	3	1	1	1	1	2	2	3	2	4	3	0	0	1	
20160606	1	2	1	2	2	1	1	1	1	1	2	0	1	0	0	2	1	1	3	1	0	0	0	0	2	1	2	0	0	0	1	0	0	1	0	0	1	1	0	1	
20160607	0	1	1	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	2	1	0	1	
20160608	16	14	11	11	7	10	6	11	8	19	3	3	9	11	12	20	9	3	3	4	0	9	5	16	3	11	2	15	7	3	2	21	21	3	3	16	1	6	5	3	
20160609	55	45	40	38	38	17	10	35	41	56	23	47	55	35	43	59	55	20	5	24	2	38	28	49	16	15	28	39	32	4	18	61	61	20	47	46	17	17	25	15	
20160610	2	1	0	0	2	1	0	0	0	1	1	1	1	0	1	1	1	2	2	2	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	2	
20160611	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	
20160612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160613	15	15	15	0	0	15	15	15	0	16	16	0	0	0	15	16	1	15	0	15	1	16	16	15	15	15	15	15	15	15	15	15	15	0	12	15	2	16	15	1	
20160614	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	
20160615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
20160616	0	3	0	2	0	2	3	0	2	2	0	0	1	0	1	1	0	0	1	2	0	1	3	1	3	0	2	1	0	1	1	0	0	0	2	2	1	1	1	2	
20160617	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	
20160618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160619	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
20160620	3	3	4	4	5	4	4	3	2	3	1	1	3	3	2	1	3	4	4	1	2	6	3	1	2	6	1	2	0	0	1	3	3	6	1	1	3	3	3	1	
20160621	20	11	8	7	17	18	4	7	19	13	6	4	20	7	12	19	20	5	3	2	0	14	12	0	10	8	15	17	9	7	1	18	18	4	0	5	9	15	15	7	
20160622	2	1	1	2	0	0	2	1	2	1	1	1	0	1	0	1	0	1	2	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	
20160623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160624	1	1	2	1	0	1	2	2	0	3	1	0	1	1	0	0	1	0	2	2	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	
20160625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20160626	15	13	14	20	10	10	11	13	13	9	17	26	4	11	3	5	1	3	0	6	17	2	6	2	4	2	1	2	4	11	12	7	7	5	0	3	9	7	1	1	
20160627	26	23	46	52	17	17	29	45	27	13	35	70	8	31	4	8	4	6	4	6	59	16	14	3	18	16	6	4	3	14	18	17	16	18	0	4	8	6	8	11	
20160628	17	13	18	9	11	11	12	11	7	15	6	19	9	6	4	9	6	6	6	9	19	3	11	4	8	10	7	8	8	14	9	4	4	4	1	10	5	8	4	1	
20160629	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	
20160630	29	29	18	19	20	25	18	18	18	16	4	15	28	17	24	21	27	19	20	3	8	11	1	1	7	14	27	7	18	1	7	17	17	9	23	8	3	13	14	9	
20160701	28	19	14	16	19	19	21	13	15	7	6	11	25	13	24	10	25	17	10	9	7	7	7	0	8	6	12	10	13	3	4	2	2	18	16	12	8	7	10	7	
